,Neighbourhood,Assault_AVG,AutoTheft_AVG,BreakandEnter_AVG,Homicide_AVG,Robbery_AVG,TheftOver_AVG
97,Playter Estates-Danforth,69.5,6.2,29.2,0.3,10.7,2.3
98,Pleasant View,46.0,13.5,19.8,0.2,11.8,3.8
99,Princess-Rosethorn,24.0,22.3,30.2,0.3,13.5,3.8
100,Regent Park,111.2,9.8,34.3,1.3,15.7,4.3
101,Rexdale-Kipling,68.7,28.7,15.8,0.5,20.2,1.7
102,Rockcliffe-Smythe,136.0,43.0,36.0,0.5,36.7,8.0
103,Roncesvalles,96.0,13.5,53.8,0.5,20.7,5.7
104,Rosedale-Moore Park,98.3,17.7,69.2,0.2,18.0,9.5
105,Rouge,173.3,50.5,72.3,0.8,32.3,11.8
106,Runnymede-Bloor West Village,36.7,18.2,22.5,0.0,17.0,1.2
107,Rustic,60.0,15.8,15.2,0.3,8.7,1.5
108,Scarborough Village,168.5,17.2,41.3,1.3,25.0,2.7
109,South Parkdale,226.5,18.7,65.3,0.3,33.0,10.0
110,South Riverdale,244.3,30.8,108.8,1.8,49.0,21.3
111,St.Andrew-Windfields,50.0,20.2,78.7,0.5,7.2,8.5
112,Steeles,39.3,25.0,56.7,0.0,9.7,3.7
113,Stonegate-Queensway,83.2,28.7,52.8,0.0,20.7,6.0
114,Tam O'Shanter-Sullivan,109.7,23.0,62.7,0.7,27.7,5.5
115,Taylor-Massey,111.3,9.3,46.0,0.7,21.0,3.5
116,The Beaches,93.8,16.3,49.3,0.0,20.3,6.2
117,Thistletown-Beaumond Heights,53.7,25.3,19.0,0.3,15.0,2.3
118,Thorncliffe Park,97.5,9.3,25.5,1.5,11.0,7.2
119,Trinity-Bellwoods,141.5,22.0,68.8,0.2,23.7,6.0
120,University,132.8,8.7,68.3,0.3,24.5,8.2
121,Victoria Village,119.3,16.5,39.0,0.7,13.2,5.0
122,Waterfront Communities-The Island,851.8,53.7,247.3,1.0,82.2,56.2
123,West Hill,402.0,26.5,82.5,0.8,65.2,6.7
124,West Humber-Clairville,301.8,366.7,137.8,1.5,91.8,52.2
125,Westminster-Branson,111.0,27.7,45.2,0.0,14.5,4.7
126,Weston,180.3,47.2,50.5,1.5,41.2,4.5
127,Weston-Pellam Park,90.7,15.0,20.0,0.8,13.7,3.7
128,Wexford/Maryvale,198.8,63.0,93.7,1.0,33.8,13.8
129,Willowdale East,145.7,36.2,83.2,0.0,37.7,14.7
130,Willowdale West,101.7,16.2,28.3,0.2,20.5,5.8
131,Willowridge-Martingrove-Richview,90.3,44.3,43.0,0.7,27.3,3.7
132,Woburn,384.7,46.0,105.2,1.2,83.5,13.7
133,Woodbine Corridor,86.0,9.2,32.5,0.5,14.5,4.0
134,Woodbine-Lumsden,35.7,3.0,16.2,0.5,5.0,3.0
135,Wychwood,70.2,13.2,34.0,0.3,13.8,2.3
136,Yonge-Eglinton,75.8,9.0,28.0,0.3,19.5,4.8
137,Yonge-St.Clair,31.0,4.3,23.3,0.0,5.7,4.3
138,York University Heights,333.2,106.3,113.2,0.8,75.8,36.3
139,Yorkdale-Glen Park,160.2,55.5,63.3,1.2,31.5,22.5
