,Neighbourhood,Latitude,Longitude
103,Roncesvalles,43.646122994399995,-79.4429924472
104,Rosedale-Moore Park,43.682820425299994,-79.3796694025
105,Rouge,43.8212012569,-79.1863434458
106,Runnymede-Bloor West Village,43.6592688193,-79.485708182
107,Rustic,43.7116091166,-79.4980914696
108,Scarborough Village,43.7386518596,-79.216812619
109,South Parkdale,43.6366995242,-79.43933783119999
110,South Riverdale,43.649292063500006,-79.335651321
111,St.Andrew-Windfields,43.7562458348,-79.37903708649999
112,Steeles,43.812958825900004,-79.3212070061
113,Stonegate-Queensway,43.635518132899996,-79.50112821329999
114,Tam O'Shanter-Sullivan,43.7801298547,-79.3029187122
115,Taylor-Massey,43.6949981893,-79.2959011188
116,The Beaches,43.671049993100006,-79.2996013043
117,Thistletown-Beaumond Heights,43.737987917299996,-79.56349101720001
118,Thorncliffe Park,43.707749211899994,-79.3499836075
119,Trinity-Bellwoods,43.6501763,-79.4153421634
120,University,43.6625062026,-79.401179748
121,Victoria Village,43.728489019399994,-79.31487382649999
122,Waterfront Communities-The Island,43.6338803623,-79.3772023146
123,West Hill,43.7674902567,-79.1766760264
124,West Humber-Clairville,43.7161804033,-79.59635645350001
125,Westminster-Branson,43.7788132165,-79.4524182256
126,Weston,43.702716046300004,-79.5157225505
127,Weston-Pellam Park,43.67396203770001,-79.4602439114
128,Wexford/Maryvale,43.7485721411,-79.2986365699
129,Willowdale East,43.7706022616,-79.40148378960001
130,Willowdale West,43.771210491800005,-79.4275578
131,Willowridge-Martingrove-Richview,43.683644963,-79.5542210494
132,Woburn,43.766740239300006,-79.2285857671
133,Woodbine Corridor,43.6767729247,-79.3154073786
134,Woodbine-Lumsden,43.694106742399995,-79.3111635266
135,Wychwood,43.6769192679,-79.425514947
136,Yonge-Eglinton,43.704689367700006,-79.4035901675
137,Yonge-St.Clair,43.687858872,-79.3978707687
138,York University Heights,43.765736490900004,-79.4888829298
139,Yorkdale-Glen Park,43.714671529300006,-79.4571080738
